Server,Keyword,Search Time,Execution Time,Total Time,Rows Fetched
srv03812.soton.ac.uk,sarcoma,9453,600737,600760,201
srv03916.soton.ac.uk,sarcoma,7752.65423,600737,600760,201
srv03917.soton.ac.uk,sarcoma,12854.02945,600737,600760,201
srv03918.soton.ac.uk,sarcoma,12695.01233,600737,600760,201
srv03919.soton.ac.uk,sarcoma,8750.094844,600737,600760,201
srv03920.soton.ac.uk,sarcoma,7446.274983,600737,600760,201
srv03921.soton.ac.uk,sarcoma,7411.042039,600737,600760,201
srv03922.soton.ac.uk,sarcoma,7279.454363,600737,600760,201
srv03923.soton.ac.uk,sarcoma,8738.43984,600737,600760,201
srv03924.soton.ac.uk,sarcoma,7279.454363,600737,600760,201
srv03925.soton.ac.uk,sarcoma,8906.566624,600737,600760,201
srv03926.soton.ac.uk,sarcoma,9712.469972,600737,600760,201
srv03927.soton.ac.uk,sarcoma,7899.346523,600737,600760,201
srv03928.soton.ac.uk,sarcoma,7135.072975,600737,600760,201
srv03929.soton.ac.uk,sarcoma,8156.158512,600737,600760,201
srv03930.soton.ac.uk,sarcoma,7221.313308,600737,600760,201
srv03931.soton.ac.uk,sarcoma,7780.184153,600737,600760,201
srv03932.soton.ac.uk,sarcoma,9118.198725,600737,600760,201
srv03933.soton.ac.uk,sarcoma,8289.688688,600737,600760,201
srv03934.soton.ac.uk,sarcoma,8264.067774,600737,600760,201
srv03935.soton.ac.uk,sarcoma,7776.868506,600737,600760,201
srv03936.soton.ac.uk,sarcoma,8295.482699,600737,600760,201
srv03937.soton.ac.uk,sarcoma,10772.40552,600737,600760,201
srv03938.soton.ac.uk,sarcoma,7500.966424,600737,600760,201
srv03939.soton.ac.uk,sarcoma,8669.447574,600737,600760,201
srv03940.soton.ac.uk,sarcoma,7279.454363,600737,600760,201
srv03941.soton.ac.uk,sarcoma,7650.639452,600737,600760,201
srv03942.soton.ac.uk,sarcoma,6827.722478,600737,600760,201
srv03943.soton.ac.uk,sarcoma,8779.60076,600737,600760,201
srv03944.soton.ac.uk,sarcoma,8047.378473,600737,600760,201
srv03945.soton.ac.uk,sarcoma,8969.764879,600737,600760,201
srv03946.soton.ac.uk,sarcoma,6535.242158,600737,600760,201
srv03947.soton.ac.uk,sarcoma,8368.359967,600737,600760,201
srv03948.soton.ac.uk,sarcoma,9197.874745,600737,600760,201
srv03949.soton.ac.uk,sarcoma,7873.658626,600737,600760,201
srv03950.soton.ac.uk,sarcoma,8852.344061,600737,600760,201
srv03951.soton.ac.uk,sarcoma,6910.513197,600737,600760,201
srv03952.soton.ac.uk,sarcoma,7279.454363,600737,600760,201
srv03953.soton.ac.uk,sarcoma,8714.727935,600737,600760,201
srv03954.soton.ac.uk,sarcoma,9048.570123,600737,600760,201srv03812.soton.ac.uk,crohns,8698,1182108,1182154,397
srv03916.soton.ac.uk,crohns,215413,1182108,1182154,397
srv03917.soton.ac.uk,crohns,383801,1182108,1182154,397
srv03918.soton.ac.uk,crohns,379053,1182108,1182154,397
srv03919.soton.ac.uk,crohns,228003,1182108,1182154,397
srv03920.soton.ac.uk,crohns,212566,1182108,1182154,397
srv03921.soton.ac.uk,crohns,232916,1182108,1182154,397
srv03922.soton.ac.uk,crohns,200927,1182108,1182154,397
srv03923.soton.ac.uk,crohns,246121,1182108,1182154,397
srv03924.soton.ac.uk,crohns,"4 15:41:56.432, Incoming Query:  select SEARCH_PARAMETERS, DOCUMENT_URL, RELEVANCE from NEW com.ibm.db2j.GaianTable('LTSOLID', 'queryPath=srv03812 srv03926', 'SEARCH_PARAMETERS VARCHAR(255), DOCUMENT_URL VARCHAR(255), RELEVANCE VARCHAR(3)', 'srv03926') GQ WHERE (Search_Parameters = 'crohns,mailto:sagent0@example.org') AND GDB_QRYID=? AND GDB_QRYSTEPS=? -- GDB_HASH=A3B13114",1182108,1182154,397
srv03925.soton.ac.uk,crohns,246524,1182108,1182154,397
srv03926.soton.ac.uk,crohns,272291,1182108,1182154,397
srv03927.soton.ac.uk,crohns,233729,1182108,1182154,397
srv03928.soton.ac.uk,crohns,198753,1182108,1182154,397
srv03929.soton.ac.uk,crohns,227515,1182108,1182154,397
srv03930.soton.ac.uk,crohns,244070,1182108,1182154,397
srv03931.soton.ac.uk,crohns,224000,1182108,1182154,397
srv03932.soton.ac.uk,crohns,300699,1182108,1182154,397
srv03933.soton.ac.uk,crohns,279247,1182108,1182154,397
srv03934.soton.ac.uk,crohns,298484,1182108,1182154,397
srv03935.soton.ac.uk,crohns,224390,1182108,1182154,397
srv03936.soton.ac.uk,crohns,237423,1182108,1182154,397
srv03937.soton.ac.uk,crohns,229968,1182108,1182154,397
srv03938.soton.ac.uk,crohns,207294,1182108,1182154,397
srv03939.soton.ac.uk,crohns,235386,1182108,1182154,397
srv03940.soton.ac.uk,crohns,592051,1182108,1182154,397
srv03941.soton.ac.uk,crohns,225117,1182108,1182154,397
srv03942.soton.ac.uk,crohns,195864,1182108,1182154,397
srv03943.soton.ac.uk,crohns,224363,1182108,1182154,397
srv03944.soton.ac.uk,crohns,224751,1182108,1182154,397
srv03945.soton.ac.uk,crohns,307596,1182108,1182154,397
srv03946.soton.ac.uk,crohns,187460,1182108,1182154,397
srv03947.soton.ac.uk,crohns,230324,1182108,1182154,397
srv03948.soton.ac.uk,crohns,262840,1182108,1182154,397
srv03949.soton.ac.uk,crohns,215754,1182108,1182154,397
srv03950.soton.ac.uk,crohns,264965,1182108,1182154,397
srv03951.soton.ac.uk,crohns,186282,1182108,1182154,397
srv03952.soton.ac.uk,crohns,"4 15:41:56.656, Incoming Query:  select SEARCH_PARAMETERS, DOCUMENT_URL, RELEVANCE from NEW com.ibm.db2j.GaianTable('LTSOLID', 'queryPath=srv03812 srv03928 srv03931 srv03921', 'SEARCH_PARAMETERS VARCHAR(255), DOCUMENT_URL VARCHAR(255), RELEVANCE VARCHAR(3)', 'srv03921') GQ WHERE (Search_Parameters = 'crohns,mailto:sagent0@example.org') AND GDB_QRYID=? AND GDB_QRYSTEPS=? -- GDB_HASH=A3B13114",1182108,1182154,397
srv03953.soton.ac.uk,crohns,225017,1182108,1182154,397
srv03954.soton.ac.uk,crohns,214476,1182108,1182154,397
srv03812.soton.ac.uk,carpal,8019,309432,309585,4267
srv03916.soton.ac.uk,carpal,212643,309432,309585,4267
srv03917.soton.ac.uk,carpal,383801,309432,309585,4267
srv03918.soton.ac.uk,carpal,379053,309432,309585,4267
srv03919.soton.ac.uk,carpal,225970,309432,309585,4267
srv03920.soton.ac.uk,carpal,211791,309432,309585,4267
srv03921.soton.ac.uk,carpal,218183,309432,309585,4267
srv03922.soton.ac.uk,carpal,230830,309432,309585,4267
srv03923.soton.ac.uk,carpal,262124,309432,309585,4267
srv03924.soton.ac.uk,carpal,srv03812:1708790714974:2,309432,309585,4267
srv03925.soton.ac.uk,carpal,247684,309432,309585,4267
srv03926.soton.ac.uk,carpal,280171,309432,309585,4267
srv03927.soton.ac.uk,carpal,222875,309432,309585,4267
srv03928.soton.ac.uk,carpal,202266,309432,309585,4267
srv03929.soton.ac.uk,carpal,230216,309432,309585,4267
srv03930.soton.ac.uk,carpal,194174,309432,309585,4267
srv03931.soton.ac.uk,carpal,267885,309432,309585,4267
srv03932.soton.ac.uk,carpal,309314,309432,309585,4267
srv03933.soton.ac.uk,carpal,279823,309432,309585,4267
srv03934.soton.ac.uk,carpal,302157,309432,309585,4267
srv03935.soton.ac.uk,carpal,224830,309432,309585,4267
srv03936.soton.ac.uk,carpal,258516,309432,309585,4267
srv03937.soton.ac.uk,carpal,243507,309432,309585,4267
srv03938.soton.ac.uk,carpal,209971,309432,309585,4267
srv03939.soton.ac.uk,carpal,242033,309432,309585,4267
srv03940.soton.ac.uk,carpal,"4 16:05:15.057, Incoming Query:  select SEARCH_PARAMETERS, DOCUMENT_URL, RELEVANCE from NEW com.ibm.db2j.GaianTable('LTSOLID', 'queryPath=srv03812 srv03933 srv03938', 'SEARCH_PARAMETERS VARCHAR(255), DOCUMENT_URL VARCHAR(255), RELEVANCE VARCHAR(3)', 'srv03938') GQ WHERE (Search_Parameters = 'carpal,mailto:sagent0@example.org') AND GDB_QRYID=? AND GDB_QRYSTEPS=? -- GDB_HASH=4321F20E",309432,309585,4267
srv03941.soton.ac.uk,carpal,230306,309432,309585,4267
srv03942.soton.ac.uk,carpal,193089,309432,309585,4267
srv03943.soton.ac.uk,carpal,223252,309432,309585,4267
srv03944.soton.ac.uk,carpal,226408,309432,309585,4267
srv03945.soton.ac.uk,carpal,287261,309432,309585,4267
srv03946.soton.ac.uk,carpal,189047,309432,309585,4267
srv03947.soton.ac.uk,carpal,252380,309432,309585,4267
srv03948.soton.ac.uk,carpal,252450,309432,309585,4267
srv03949.soton.ac.uk,carpal,209761,309432,309585,4267
srv03950.soton.ac.uk,carpal,255954,309432,309585,4267
srv03951.soton.ac.uk,carpal,188593,309432,309585,4267
