Server,Keyword,Search Time,Execution Time,Total Time,Rows Fetched
srv03812.soton.ac.uk,diabetes,8758,31704,32970,32691
srv03813.soton.ac.uk,diabetes,19922,31704,32970,32691
srv03814.soton.ac.uk,diabetes,18517,31704,32970,32691
srv03815.soton.ac.uk,diabetes,18564,31704,32970,32691
srv03816.soton.ac.uk,diabetes,29321,31704,32970,32691
srv03911.soton.ac.uk,diabetes,28798,31704,32970,32691
srv03912.soton.ac.uk,diabetes,18232,31704,32970,32691
srv03913.soton.ac.uk,diabetes,19696,31704,32970,32691
srv03914.soton.ac.uk,diabetes,25223,31704,32970,32691
srv03915.soton.ac.uk,diabetes,19395,31704,32970,32691
srv03916.soton.ac.uk,diabetes,18858,31704,32970,32691
srv03917.soton.ac.uk,diabetes,18654,31704,32970,32691
srv03918.soton.ac.uk,diabetes,19012,31704,32970,32691
srv03919.soton.ac.uk,diabetes,19744,31704,32970,32691
srv03920.soton.ac.uk,diabetes,19654,31704,32970,32691
srv03921.soton.ac.uk,diabetes,19442,31704,32970,32691
srv03922.soton.ac.uk,diabetes,18645,31704,32970,32691
srv03923.soton.ac.uk,diabetes,20172,31704,32970,32691
srv03924.soton.ac.uk,diabetes,18722,31704,32970,32691
srv03925.soton.ac.uk,diabetes,21568,31704,32970,32691
srv03926.soton.ac.uk,diabetes,31134,31704,32970,32691
srv03927.soton.ac.uk,diabetes,17222,31704,32970,32691
srv03928.soton.ac.uk,diabetes,18579,31704,32970,32691
srv03929.soton.ac.uk,diabetes,18067,31704,32970,32691
srv03930.soton.ac.uk,diabetes,15563,31704,32970,32691
srv03931.soton.ac.uk,diabetes,19290,31704,32970,32691
srv03932.soton.ac.uk,diabetes,28297,31704,32970,32691
srv03933.soton.ac.uk,diabetes,24681,31704,32970,32691
srv03934.soton.ac.uk,diabetes,17412,31704,32970,32691
srv03935.soton.ac.uk,diabetes,16126,31704,32970,32691
srv03936.soton.ac.uk,diabetes,17565,31704,32970,32691
srv03937.soton.ac.uk,diabetes,18822,31704,32970,32691
srv03938.soton.ac.uk,diabetes,17993,31704,32970,32691
srv03939.soton.ac.uk,diabetes,19355,31704,32970,32691
srv03940.soton.ac.uk,diabetes,18835,31704,32970,32691
